repo_name,file_path,url
chronolaw/k8s_study,ch4/hpa.yml,https://github.com/chronolaw/k8s_study/blob/1eac1653f622265e04f6eea7c672991263f465f1/ch4/hpa.yml
krestomatio/moodle-operator,watches.yaml,https://github.com/krestomatio/moodle-operator/blob/ad59455d6e1d8d8fdf221883607f7b3ca2161a6c/watches.yaml
bhaveshittadwar/live-stream-kubernetes,hpa.yaml,https://github.com/bhaveshittadwar/live-stream-kubernetes/blob/6a95af62ad17f40d501812d9f5e026fb5ea455da/hpa.yaml
kaitoz11/Ansible-K8s,k8s/HPA.yaml,https://github.com/kaitoz11/Ansible-K8s/blob/60d56df1e04f02ad142cff7e51036d224de6f4fe/k8s/HPA.yaml
moleculerjs/docker-demo,k8s.yaml,https://github.com/moleculerjs/docker-demo/blob/8625730163e1a6661759c49f9124ad89b4b9408a/k8s.yaml
Soubarniya/kubernetes-deployment,myhpa.yaml,https://github.com/Soubarniya/kubernetes-deployment/blob/7771edae9e84bc9bda6da646fadcc7c175e8fee5/myhpa.yaml
amitshishodia/my-mongo,hpa.yaml,https://github.com/amitshishodia/my-mongo/blob/c566a24cbd125c236c7150069d503102dbbb01ab/hpa.yaml
krestomatio/postgres-operator,watches.yaml,https://github.com/krestomatio/postgres-operator/blob/414e533c68a900beaefab688169e94b7c82ae70a/watches.yaml
bgfhburg/Task-3-Kubernetes-Current-Topic,auto.yaml,https://github.com/bgfhburg/Task-3-Kubernetes-Current-Topic/blob/a18bc32904f30c924d571a4f1d2d77392759ea07/auto.yaml
Shubham-Kumar1/devops-k8s,hpa-be.yaml,https://github.com/Shubham-Kumar1/devops-k8s/blob/d276b8f2888f5abb88cdb9df3aebdad92d6d073a/hpa-be.yaml
day112/go-zero-bookstore,apirpc.yaml,https://github.com/day112/go-zero-bookstore/blob/b82b66f487eb028e5cf6b464a1e924fa0bbf85c5/apirpc.yaml
bc-rep-project/AI-Powered,k8s/hpa.yaml,https://github.com/bc-rep-project/AI-Powered/blob/37c7cb2228c0bc24667b79196c4dcb30374cca1b/k8s/hpa.yaml
pranav-e6x/eef,new/HPA.yaml,https://github.com/pranav-e6x/eef/blob/9888fc2c7a8774a80f7bb0024575f04535964e3e/new/HPA.yaml
khm0930/-Collection-of-Kubernetes-object-yml-files,HPA.yml,https://github.com/khm0930/-Collection-of-Kubernetes-object-yml-files/blob/bcbd5be05c4658c9791034035f963c1fe79cbd76/HPA.yml
hpatel3747/learn-kubernetes,16-hpa.yml,https://github.com/hpatel3747/learn-kubernetes/blob/0daadbff705a1696c7298e147e2f7e12b7a6c4e9/16-hpa.yml
