repo_name,file_path,url
fluent/helm-charts,charts/fluentd/templates/hpa.yaml,https://github.com/fluent/helm-charts/blob/f87fec5d36cf871ad5174c021b8d6ceb6a1b2001/charts/fluentd/templates/hpa.yaml
krestomatio/moodle-operator,watches.yaml,https://github.com/krestomatio/moodle-operator/blob/ad59455d6e1d8d8fdf221883607f7b3ca2161a6c/watches.yaml
andrewferguson/corekube-worker,full.yaml,https://github.com/andrewferguson/corekube-worker/blob/b1f3a1014a0ae8f19d822d5fd51817f5ec7a1187/full.yaml
carvel-dev/ytt-library-for-kubernetes,app/hpa.yml,https://github.com/carvel-dev/ytt-library-for-kubernetes/blob/bba7985ed8ac94bb55b95cfaf20cbcd3521b8f88/app/hpa.yml
syed-hassan-ops/PetClinic-java-app,HPA.yaml,https://github.com/syed-hassan-ops/PetClinic-java-app/blob/024722cbdd2b24dede240bae6f7c312d71a15d89/HPA.yaml
tobialbertino/belajar-code,kubernetes/latihan1/hpa.yaml,https://github.com/tobialbertino/belajar-code/blob/2c7458cbc84f94f86456bc534b89632896361680/kubernetes/latihan1/hpa.yaml
astrocket/rails-template-stimulus,k8s/web.yaml,https://github.com/astrocket/rails-template-stimulus/blob/ec9bf2eb9fa59491bcc25fb297f1b1b57f8d7efc/k8s/web.yaml
taehoio/id,k8s.yaml,https://github.com/taehoio/id/blob/df9091151cb598b81cf4bdc89fc08892470b85da/k8s.yaml
iamsamitdev/KubernateDemoBCEL,hpa-v2.yaml,https://github.com/iamsamitdev/KubernateDemoBCEL/blob/a92cff916a15801b63541218c2d013fa43b28d3b/hpa-v2.yaml
team529nl/blue-green,scripts/istio-kiali.yaml,https://github.com/team529nl/blue-green/blob/328ea0f82af9dc925676dd54697e7bd1dba8a941/scripts/istio-kiali.yaml
ArunMagi/kubernetes,hpa.yaml,https://github.com/ArunMagi/kubernetes/blob/b88a4b4fabeafbe8e500edffd19c63f44803025e/hpa.yaml
luisrivas35/docker_k8_course,mypod.yaml,https://github.com/luisrivas35/docker_k8_course/blob/f8d36aaba5bbeb303c8fa8163cf131fae7dc6ec4/mypod.yaml
vfarcic/ddosify-demo,app.yaml,https://github.com/vfarcic/ddosify-demo/blob/2ab4b9c61640c2c8041cde2695e9a681cd1da704/app.yaml
covid19-patient-classification/dashboard-microservice,hpa.yml,https://github.com/covid19-patient-classification/dashboard-microservice/blob/ec3d6de153c31f1b1a2b6e792354f1ddf9944467/hpa.yml
abm1499/Resnet18_Interference,hpa-90.yaml,https://github.com/abm1499/Resnet18_Interference/blob/121399c3726fe589f754bc985b086fd6090e37b8/hpa-90.yaml
stzou/Sandbox,HPA/hpa.yaml,https://github.com/stzou/Sandbox/blob/5889e9c93fa52709ed5cda63ee20e7e96a0d1468/HPA/hpa.yaml
remla23-team5/operation,istio.yaml,https://github.com/remla23-team5/operation/blob/ca180022335faf894abdaa66220e7a607845c1f3/istio.yaml
SPSCommerce/kube-hpa-scale-to-zero,demo/app.yml,https://github.com/SPSCommerce/kube-hpa-scale-to-zero/blob/4f597b4876fbd28ac65c7b62f3e4ceb98d7e1f3d/demo/app.yml
beenlee0930/mycd,back.yaml,https://github.com/beenlee0930/mycd/blob/904b6fde4baa4bcd94c54d4135c7067623290a31/back.yaml
ranjitrupnawar/k8s-manifests,hpv/hpv.yml,https://github.com/ranjitrupnawar/k8s-manifests/blob/68263865001a395a21bcb40162cbacbf3814973a/hpv/hpv.yml
hernan0073/melichalenge,hpa.yaml,https://github.com/hernan0073/melichalenge/blob/59fda0b63f55743749f9c4c68b7c846adac9cefe/hpa.yaml
seenu1098/My-projects,authnz-service/k8s/hpa.yaml,https://github.com/seenu1098/My-projects/blob/a7d16634534c863c5dfe65641670b096c73d565e/authnz-service/k8s/hpa.yaml
gertmuller88/prime-test,.k8s/hpa.yml,https://github.com/gertmuller88/prime-test/blob/52481e102d3006cd4b4ef66348b435253ea1a8ca/.k8s/hpa.yml
DevOps-Tim1-CDEF/Backend-Socket,hpa.yaml,https://github.com/DevOps-Tim1-CDEF/Backend-Socket/blob/e7a1e0efe9b74e7439137d561d5d17bc9ca8dd70/hpa.yaml
cannavit/devops-tools,k8s/configurationCluster/HPA-horizontalPodsAutoScaling/php-apache.yaml Copie application/hpa-v2.yaml,https://github.com/cannavit/devops-tools/blob/83df3e2221a6c1eb757cdbcb90b19babc87e6fc7/k8s/configurationCluster/HPA-horizontalPodsAutoScaling/php-apache.yaml%20Copie%20application/hpa-v2.yaml
FIAP-TEAM-73/order-api,k8s/hpa.yaml,https://github.com/FIAP-TEAM-73/order-api/blob/1b013c346455a6faa8e8cf1515c300bddc534945/k8s/hpa.yaml
ttayssve/kind-kubernetes,k8s/hpa.yaml,https://github.com/ttayssve/kind-kubernetes/blob/72c6bbb1360f6710bf72aea7790fd898b25119a6/k8s/hpa.yaml
mitchhh22/k8s-rum-hpa,hpa/hpa.yml,https://github.com/mitchhh22/k8s-rum-hpa/blob/6fcfafac3d53fb6edc5a09ef38c3e5920b5bc1bf/hpa/hpa.yml
NikolaiES/Kube101,scaler.yaml,https://github.com/NikolaiES/Kube101/blob/1133efc9107ed981e5e90fd4a6a791b979cc3165/scaler.yaml
Hmerac/IstioWeightedRouting,hpa_go.yml,https://github.com/Hmerac/IstioWeightedRouting/blob/febb753843372ad3f17199985618bc75354b530e/hpa_go.yml
veerashayyagari/oauth2-proxy-auth0,k8s/templates/hpa.yaml,https://github.com/veerashayyagari/oauth2-proxy-auth0/blob/581ad1fec21c272a321e4ec0b93b9cc13b7d6b96/k8s/templates/hpa.yaml
logan-bobo/kube-nginx,hpa.yaml,https://github.com/logan-bobo/kube-nginx/blob/1e034bf7eb1f448216770f4bcb3fc3d61811855c/hpa.yaml
