Owner,Project,File Path,hpa_count,apiVersion,Is Helm Template,Metric Name,Metric Type,Target Value,Has Behavior,stargazers_count,created_at,pushed_at,file_first_commit,file_last_commit
SharadaShehan,Airline_Reservation_System,search_results/SharadaShehan/Airline_Reservation_System/deploy.yml,3,autoscaling/v2,False,,,,True,3,2023-08-24T13:54:51Z,2024-04-09T18:28:38Z,2024-04-09T03:09:22Z,2024-04-09T03:09:22Z
Octops,agones-discover-openmatch,search_results/Octops/agones-discover-openmatch/deploy/openmatch/01-open-match-core.yml,3,autoscaling/v1,False,targetCPUUtilizationPercentage,targetCPUUtilizationPercentage,80,False,90,2020-10-13T16:15:33Z,2023-08-29T10:40:41Z,2020-10-13T18:07:41Z,2020-10-20T18:27:54Z
quay,quay-operator,search_results/quay/quay-operator/e2e/hpa/02-bump-hpas.yaml,3,autoscaling/v1,False,,,,False,125,2019-02-26T16:28:21Z,2025-02-26T14:14:50Z,2022-05-04T17:05:22Z,2022-05-04T17:05:22Z
suyuan32,simple-admin-core,search_results/suyuan32/simple-admin-core/deploy/k8s/core-rpc.yaml,2,autoscaling/v2,False,memory,Resource,80,False,1767,2021-11-01T12:14:11Z,2025-04-06T01:59:46Z,2022-10-14T03:17:31Z,2022-10-16T05:37:41Z
syntasso,kratix-marketplace,search_results/syntasso/kratix-marketplace/knative/internal/configure-pipeline/dependencies/serving-core.yaml,2,autoscaling/v2,False,cpu,Resource,100,False,13,2022-12-19T11:27:16Z,2025-04-01T20:29:34Z,2023-11-08T16:27:54Z,2023-11-08T16:27:54Z
tangchangquan,Path-IM-Server-Demo,search_results/tangchangquan/Path-IM-Server-Demo/app/im-user/cmd/api/deploy/imuser-api.yaml,2,autoscaling/v2beta1,False,memory,Resource,,False,6,2022-05-31T09:47:58Z,2022-05-31T08:11:41Z,2022-05-22T12:36:49Z,2022-05-29T03:33:03Z
CAVEconnectome,CAVEdeployment,search_results/CAVEconnectome/CAVEdeployment/kubetemplates/skeletoncache.yml,2,autoscaling/v2,False,pubsub.googleapis.com|subscription|num_undelivered_messages,External,1,False,2,2022-01-10T20:17:20Z,2025-04-01T22:00:34Z,2024-05-07T22:54:31Z,2025-03-28T18:11:11Z
zjzjzjzj1874,best-practice-go-zero,search_results/zjzjzjzj1874/best-practice-go-zero/task/task-k8s.yaml,2,autoscaling/v2beta1,False,memory,Resource,,False,10,2022-06-06T09:46:12Z,2025-02-08T06:13:19Z,2023-02-23T07:40:16Z,2023-02-23T07:40:16Z
K-PaaS,cp-deployment,search_results/K-PaaS/cp-deployment/applications/kubeflow-1.7.0/common/knative/knative-eventing/base/upstream/mt-channel-broker.yaml,2,autoscaling/v2,False,cpu,Resource,70,False,3,2023-08-30T01:24:51Z,2025-01-09T04:55:23Z,2023-11-30T09:07:42Z,2023-12-01T02:25:00Z
rytswd,get-istio-multicluster,search_results/rytswd/get-istio-multicluster/clusters/dolphin/istio/installation/generated-manifests/1.9.5/full-installation/istio-external-gateways-install.yaml,2,autoscaling/v2beta1,False,cpu,Resource,,False,28,2020-10-01T11:19:20Z,2021-11-26T10:24:54Z,2021-05-12T14:18:15Z,2021-05-12T14:18:15Z
