,owner,repo,path
1003,PrzemyslawSwiderski,kubernetes-gradle-plugin,examples/demo-app/k8s/demo-app/templates/hpa.yaml
1006,RADAR-base,radar-helm-charts,charts/radar-push-endpoint/templates/hpa.yaml
1008,RHEcosystemAppEng,fsi-common-helm,kafka-ui/templates/hpa.yaml
1009,RHEcosystemAppEng,saas-boutique-demo,automation/productcatalog-hpa.yaml
1024,Rasmus256,homeArgocdProject,low-prio-apps/workdaycounter/api/helm/templates/deployment.yaml
1025,Rasmus256,homeArgocdProject,low-prio-apps/workdaycounter/api/helm/templates/deployment.yaml
1036,RedHatWorkshops,rider-auto-openshift,rider-auto-rest/src/main/fabric8/horizontal-pod-autoscaler.yml
1040,RevianLabs,devops-webapp-sample,kubernetes/helm/devops-webapp-sample/templates/hpa.yaml
1049,RisingStack,example-kubernetes-nodejs,gateway/templates/hpa-gateway.yaml
1072,SINTEF,LIACI_context,demonstrator/deployment/helm-chart/templates/hpa.yaml
1075,SMACAcademy,Mastering-Argo-Rollouts-Progressive-Delivery-in-Kubernetes,0-Demo-Files/hpa/hpa.yaml
1076,SOAT-01,tech-challenge-app,k8s/hpa.yaml
1077,SPSCommerce,kube-hpa-scale-to-zero,demo/app.yml
1082,Sagar2366,LearnWithSagar,CKAD/practice_questions/exercises/13-deployment-horizontal-pod-autoscaler/solution/nginx-hpa.yaml
1087,SaifRehman,ICP-Airways,icp-backend/odm-microservice/odm-microservice-HPA.yaml
1088,Sakib37,DevOps,kubernetes/k8s-development-vagrant-env/manifests/security/cert-manager/cert-manager.yaml
1089,Sakib37,DevOps,kubernetes/k8s-development-vagrant-env/manifests/deployments/services/kuard/abo.yaml
1098,SapiensAnatis,helm-charts,charts/photonstatemanager/templates/hpa.yaml
1102,Saurabhkr952,dev-portfolio-manifest,hpa.yaml
1106,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-no-eureka-deployment-files/hpa/subscription-manager.yaml
1107,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-deployment-files/hpa/registry-subscription-manager.yaml
1108,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-no-eureka-deployment-files/helm/scorpioBroker/templates/registration-subscription-manager-hpa.yaml
1109,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-deployment-files/helm/scorpioBroker/templates/entity-manager-hpa.yaml
1110,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-no-eureka-deployment-files/helm/scorpioBroker/templates/entity-manager-hpa.yaml
1111,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-deployment-files/hpa/subscription-manager.yaml
1112,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-deployment-files/helm/scorpioBroker/templates/entity-manager-hpa.yaml
1113,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-deployment-files/helm/scorpioBroker/templates/query-manager-hpa.yaml
1114,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-deployment-files/helm/scorpioBroker/templates/registration-subscription-manager-hpa.yaml
1115,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-no-eureka-deployment-files/helm/scorpioBroker/templates/entity-manager-hpa.yaml
1116,ScorpioBroker,ScorpioBroker,KubernetesFile/dist-no-eureka-deployment-files/helm/scorpioBroker/templates/query-manager-hpa.yaml
1139,SharadaShehan,Airline_Reservation_System,deploy.yml
1140,Shashankreddysunkara,NavVis-go-webapp,infra/helm-charts/go-webapp/templates/autoscaler.yaml
1157,Shuffle,Shuffle,functions/kubernetes/charts/shuffle/templates/orborus/orborus-hpa.yaml
1159,SigNoz,signoz-k8s-helm-operator,helm-charts/signoz/charts/druid/templates/middleManager/hpa.yaml
1161,Simovative,onPremise-Helm,academyfive/charts/a5Chart/templates/academy-hpa.yaml
1162,Simovative,onPremise-Helm,academyfive/charts/a5Chart/templates/academy-hpa.yaml
1167,Smarp,newspaper-api,helm-chart/templates/hpa.yaml
1172,SohamRatnaparkhi,blogx,k8s/updated/api_feed_manifest.yaml
1179,SouthGreenPlatform,AgroLD_webapp,agrold-javaweb/charts/virtuoso/templates/hpa.yaml
1185,StackVista,helm-charts,stable/victoria-metrics-cluster/templates/hpa.yaml
1186,StackVista,helm-charts,stable/victoria-metrics-cluster/templates/hpa.yaml
1187,Stair-Crusher-Club,scc-server,infra/helm/scc-server/templates/hpa.yaml
1190,StatCan,charts,stable/mutating-webhook/templates/hpa.yaml
1191,StatCan,charts,stable/fdi-dotstatsuite-de-dv/templates/hpa/data-explorer.yaml
1192,Statemood,jenkins-library,resources/io/rulin/templates/kubernetes/yaml/default/hpa.yaml
1195,Striveworks,kubego-notebooks,deployment/notebooks/templates/hpa.yaml
1197,SumoLogic,sumologic-kubernetes-collection,deploy/helm/sumologic/templates/metrics/common/hpa.yaml
1202,Sunbird-Obsrv,sunbird-data-pipeline,kubernetes/helm_charts/datapipeline_jobs/templates/flink_job_deployment.yaml
1208,SwissDataScienceCenter,renku,helm-chart/renku/templates/secrets-storage/hpa.yaml
1214,TBeijen,klutch,examples/orphan.yaml
1216,TIBCOSoftware,tp-helm-charts,charts/artifactmanager/templates/hpa.yaml
1217,TIBCOSoftware,tp-helm-charts,charts/flogoprovisioner/templates/hpa.yaml
1218,TIBCOSoftware,tp-helm-charts,charts/istio-istiod/templates/autoscale.yaml
1229,Teamwork,s3zipper,docker/helm/templates/hpa.yaml
1230,Teamwork,s3zipper,docker/helm/templates/hpa.yaml
1240,Tedyst,kubernetes-yaml,charts/openvpn-exporter/templates/hpa.yaml
1246,Tencent,CodeAnalysis,helm-charts/tca/templates/analysis/server-deployment.yaml
1247,Tencent,CodeAnalysis,helm-charts/tca/templates/gateway/deployment.yaml
1248,Tencent,CodeAnalysis,helm-charts/tca/templates/analysis/server-deployment.yaml
1249,Tencent,CodeAnalysis,helm-charts/tca/templates/analysis/server-deployment.yaml
1250,Tencent,CodeAnalysis,helm-charts/tca/templates/gateway/deployment.yaml
1251,TencentBlueKing,bk-bcs,install/helm/bcs-multi-ns-proxy/templates/hpa.yaml
1252,TencentBlueKing,bk-bcs,install/helm/bcs-multi-ns-proxy/templates/hpa.yaml
1253,TencentBlueKing,bk-ci,helm-charts/core/ci/templates/auth/hpa.yaml
1254,TencentBlueKing,bk-ci,helm-charts/core/ci/templates/auth/hpa.yaml
1255,TencentBlueKing,bk-ci,helm-charts/core/ci/templates/artifactory/hpa.yaml
1256,TencentBlueKing,bk-job,support-files/kubernetes/charts/bk-job/templates/job-gateway/hpa.yaml
1257,TencentBlueKing,bk-job,support-files/kubernetes/charts/bk-job/templates/job-crontab/hpa.yaml
1258,TencentBlueKing,bk-job,support-files/kubernetes/charts/bk-job/templates/job-execute/hpa.yaml
1259,TencentBlueKing,bk-job,support-files/kubernetes/charts/bk-job/templates/job-execute/hpa.yaml
1260,TencentBlueKing,blueking-dbm,helm-charts/bk-dbm/charts/db-remote-service/templates/hpa.yaml
1269,Thumbscrew,k8s-charts,charts/focalboard/templates/hpa.yaml
1278,Tomoku-dm,cronhpa,example/canary.yaml
1280,Topten1004,JwtToken-WebAPI,SparkTodo/manifests/hpa.yml
1281,Tran-Ngoc-Bao,Hadoop_Ecosystem_With_K8s,kubernetes/airflow/templates/dag-processor/hpa.yaml
1282,Tran-Ngoc-Bao,Hadoop_Ecosystem_With_K8s,kubernetes/airflow/templates/worker/hpa.yaml
1286,TruongHoangPhuLoc,home-lab,kubernetes/installation/manual/grafana-loki/loki/templates/querier/hpa.yaml
1287,Tsuribori,pleroma-helm,templates/hpa.yaml
1293,UKHomeOffice,clamav-http,charts/clamav/templates/clamav-autoscaler.yaml
1301,VATSIM-Radar,vatsim-radar,.config/k8s/main/app.yml
1302,VATSIM-Radar,vatsim-radar,.config/k8s/main/app.yml
1303,VATSIM-Radar,vatsim-radar,.config/k8s/main/app.yml
1320,Vicky-cmd,Springboot-V1,deployments/deployment.yaml
1327,Virous77,Reetesh,Deployment.yml
1332,Vizzuality,emissions-scenario-portal,k8s/production/hpa.yaml
1338,WeihanLi,SparkTodo,manifests/hpa.yml
1339,WeihanLi,SparkTodo,manifests/hpa.yml
1340,WeihanLi,SparkTodo,manifests/hpa.yml
1341,WeihanLi,SparkTodo,manifests/hpa.yml
1344,Wichlee,computer,extras/computer/templates/hpa.yaml
1345,Wichlee,computer,extras/postgres/postgres/templates/hpa.yaml
1346,WilliamDenniss,kubernetes-for-developers,Chapter10/10.1.3_HPA-v1/worker_hpa_v1.yaml
1347,WilliamDenniss,kubernetes-for-developers,Chapter10/10.1.3_HPA-v1/worker_hpa_v1.yaml
1348,WilliamDenniss,kubernetes-for-developers,Chapter06/6.2_HPA/hpa.yaml
1349,WilliamDenniss,kubernetes-for-developers,Chapter06/6.2.1_ExternalMetricGCP/hpa.yaml
1351,WorkloadAutomation,ibm-workload-automation-chart,helm_charts/ibm-workload-automation-prod/charts/wa-aida-prod/charts/aida-es/templates/hpa.yaml
1357,Yansb,full-cycle-course,kubernets-kind/k8s/hpa.yaml
1368,Young-ook,terraform-aws-fis,examples/blueprint/apps/sockshop/sockshop-demo-hpa.yaml
1375,ZackButcher,hybrid-demo,istio.yaml
1378,ZenHubHQ,zenhub-enterprise,k8s-cluster/options/scaling/deployments-scaling.yaml
1379,ZenHubHQ,zenhub-enterprise,k8s-cluster/base/toad/autoscaling_v2beta2_horizontalpodautoscaler_toad-api.yaml
1380,Zero-Down-Time,kubezero,charts/kubezero-logging/charts/fluentd/templates/hpa.yaml
1384,a-nldisr,kubedemo,kubernetes/external_v3/hpa.yml
1386,a0x8o,kubernetes,cluster/addons/istio/noauth/istio.yaml
1398,abdidarmawan007,k8s-ingress-neg-hpa,deployment.yaml
1401,abdullahakyuz,mern_task,k8s/hpa.yaml
1411,acornsoft-edgecraft,apps-manual,kong/assets/helm-charts/templates/hpa.yaml
1412,acryldata,datahub-helm,charts/datahub/subcharts/datahub-gms/templates/hpa.yaml
1416,adilreza,kubernetes,hpa.yaml
1417,adilreza,kubernetes,Horizontal-scaling/hpad.yaml
1423,advancedtelematic,ota-community-edition,helm/ota-treehub/templates/podautoscaler.yaml
1424,aerospike,helm-charts,aerospike-proxy/templates/hpa.yaml
1435,ahwhy,myCfgLib,kubernetes/all-lib/14-monitor/hpa/hpa-v2-resources.yaml
1436,ahwhy,myCfgLib,kubernetes/all-lib/14-monitor/hpa/hpa-v2-resources.yaml
1437,ahwhy,myCfgLib,kubernetes/all-lib/14-monitor/hpa/hpa-v2-resources.yaml
1443,airavata-courses,PixelGram,k8s/kube.yaml
1451,akeylesslabs,helm-charts,charts/akeyless-k8s-secrets-injection/templates/horizontalPodAutoscaler.yaml
1452,akeylesslabs,helm-charts,charts/akeyless-k8s-secrets-injection/templates/horizontalPodAutoscaler.yaml
1468,alejandro945,my-health-ops,k8s/hpa/hpa-server.yaml
1473,alercebroker,pipeline,charts/prv_candidates_step/templates/hpa.yaml
1474,alercebroker,pipeline,charts/prv_candidates_step/templates/hpa.yaml
1475,alercebroker,pipeline,charts/lightcurve-step/templates/hpa.yaml
1494,allianz-direct,tekton-s3-log-reader,helm/templates/hpa.yaml
1496,alphauslabs,oops,deployment.yaml
1507,ammarSaad,Kubernetes-web-based,saas-minikube-kubernetess/namespaces/spring/podinfo-hpa.yaml
1541,anomaly,lab-python-server,charts/worker/templates/hpa.yaml
1544,antonputra,tutorials,lessons/187/hpa.yaml
1550,aottr,charts,charts/pocketbase/templates/hpa.yaml
1552,apexlabs-ai,django-helm-charts,charts/django/templates/web-hpa.yaml
1553,apollosolutions,reference-architecture,deploy/client/templates/hpa.yaml
1554,apollosolutions,reference-architecture,deploy/subgraph/templates/hpa.yaml
1557,application-stacks,runtime-component-operator,deploy/olm-catalog/runtime-component-operator-certified/runtime-component-operator.v0.5.1.clusterserviceversion.yaml
1558,appscode-cloud,installer,charts/dns-proxy/templates/hpa.yaml
1559,appscode-cloud,installer,charts/inbox-ui/templates/hpa.yaml
1560,appscode-cloud,installer,charts/inbox-ui/templates/hpa.yaml
1561,appscode-cloud,installer,charts/dns-proxy/templates/hpa.yaml
1562,appscode-cloud,installer,charts/platform-api/templates/hpa.yaml
1563,appscode-cloud,installer,charts/cluster-ui/templates/hpa.yaml
1564,appscode-cloud,installer,charts/inbox-ui/templates/hpa.yaml
1566,arafkarsh,k8s-quickstart,colima/Yamls/app/fusion-12-water-product-hpa-green.yaml
1570,argoproj-archive,microservices-demo,deploy/kubernetes/autoscaling/catalogue-hsc.yaml
1571,argoproj,argo-helm,charts/argo-workflows/templates/server/server-deployment-hpa.yaml
1572,arisu1000,kubernetes-book-sample,autoscaling/autoscaling.yaml
1574,armanfeili,personality-website,Kubernetes/db-deployment.yaml
1576,artazar,flux2-general,clusters/demo-000/apps/demoapp-data-processor/dev/kustomization.yaml
1579,artsy,hokusai-sandbox,hokusai/staging.yml
1580,artsy,horizon,hokusai/staging.yml
1581,arun-gupta,oreilly-kubernetes-book,ch01/wildfly-hpa.yml
1582,arun-gupta,oreilly-kubernetes-book,ch03/hpa.yml
1584,arunvel1988,ANTON,lessons/142/istiod/autoscale.yaml
1585,arunvel1988,ANTON,lessons/159/lesson-159/my-app-chart/templates/hpa.yaml
1586,arunvel1988,ANTON,lessons/143/istiod/autoscale.yaml
1589,arvatoaws-labs,wordpress-helm-chart,templates/hpa.yaml
1600,ashokitschool,kubernetes_manifest_yml_files,05-HPA/03_HPA.yml
1602,asoorm,tyk-go-plugins,merge_jwks/k8s/templates/hpa.yaml
1603,asoorm,tyk-go-plugins,merge_jwks/istio/templates/hpa.yaml
1604,asquarezone,KubernetesZone,Oct24/ingress/hpa/skate-hpa.yaml
1606,astrocket,rails-template-stimulus,k8s/web.yaml
1622,automagistre,automagistre,helm/templates/web-hpa.yaml
1623,automagistre,automagistre,helm/templates/web-hpa.yaml
1634,aws-samples,argocd-on-amazon-eks-workshop,gitops/platform/teams/backend/argoproject-values.yaml
1635,aws-samples,aws-do-docker,to/kubernetes/template/040-hpa.yaml
1636,aws-samples,aws-do-eks,Container-Root/eks/deployment/inference/generative-ai/animeganv3/to/kubernetes/template/050-hpa.yaml
1637,aws-samples,aws-do-eks,Container-Root/eks/deployment/inference/generative-ai/animeganv2/to/kubernetes/template/050-hpa.yaml
1638,aws-samples,aws-do-eks,Container-Root/eks/deployment/inference/generative-ai/chatgpt/to/kubernetes/template/050-hpa.yaml
1639,aws-samples,eks-workshop-greater-china,china/2020_EKS_Launch_Workshop/resource/hpa/hpa-v2.yaml
1640,aws-samples,eksctl-cluster-provision,examples/java-application-example/kubernetes/05-hpa.yaml
1655,bakaphp,phalcon-api,helm/templates/hpa-notifcations-queue.yaml
1662,banzaicloud,banzai-charts,thanos/templates/query-horizontalpodautoscaler.yaml
1664,barabanshek,MIT_PRIMEs,scripts/k8s-yamls/hotel-app-rate.yaml
1665,barabanshek,MIT_PRIMEs,scripts/k8s-yamls/hotel-app-profile.yaml
1666,barkbay,k8s-app-lab,java/5-hpa.yaml
1673,bcgov,EDUC-INFRA-COMMON,openshift/pipelines/deployment-config/uifrontend.dc.yaml
1676,bcgov,EDUC-STUDENT-ADMIN,tools/openshift/backend.dc.yaml
1677,bcgov,EDUC-STUDENT-ADMIN,tools/openshift/backend.dc.yaml
1678,bcgov,EDUC-STUDENT-ADMIN,tools/openshift/backend.dc.yaml
1679,bcgov,SDPR_Case_Management_SuiteCRM,helm/suitecrm/templates/hpa.yaml
1680,bcgov,SIMS,devops/openshift/queue-consumers-deploy.yml
1681,bcgov,SIMS,devops/openshift/workers-deploy.yml
1682,bcgov,SIMS,devops/openshift/workers-deploy.yml
1683,bcgov,SIMS,devops/openshift/workers-deploy.yml
1684,bcgov,SIMS,devops/openshift/queue-consumers-deploy.yml
1685,bcgov,SIMS,devops/openshift/workers-deploy.yml
1686,bcgov,TransAction,openshift/api-deploy-config.yaml
1691,bcgov,bcparks-staff-portal,helm/deployment/templates/backend/backend-hpa.yaml
1692,bcgov,bcparks-staff-portal,helm/deployment/templates/backend/backend-hpa.yaml
1693,bcgov,bcparks-staff-portal,helm/deployment/templates/backend/backend-hpa.yaml
1694,bcgov,cthub,openshift/templates/frontend/frontend-autoscaler.yaml
1695,bcgov,foi-requests,openshift/templates/maintenance-proxy.yaml
1696,bcgov,foi-requests,openshift/templates/maintenance-proxy.yaml
1697,bcgov,helm-charts,charts/vdi-project-api/templates/hpa.yaml
1698,bcgov,itvr,openshift/templates/backend/backend-autoscaler.yaml
1699,bcgov,itvr,chart/itvr-apps/charts/itvr-backend/templates/hpa.yaml
1700,bcgov,itvr,openshift/templates/frontend/frontend-autoscaler.yaml
1701,bcgov,jag-traffic-courts-online,gitops/charts/coms/common-object-management-service/templates/hpa.yaml
1702,bcgov,lear,queue_services/entity-emailer/k8s/templates/dc.yaml
1703,bcgov,lear,queue_services/entity-emailer/k8s/templates/dc.yaml
1704,bcgov,nr-hydrometric-rating-curve,charts/app/templates/rctool/templates/hpa.yaml
1705,bcgov,nr-permitconnect-navigator-service,charts/pcns/templates/hpa.yaml
1706,bcgov,openshift-aries-mediator-service,openshift/templates/aries-mediator-agent/aries-mediator-agent-deploy.yaml
1707,bcgov,psa-job-store,deployments/openshift/kustomize/base/api/nestjs/hpa.yml
1708,bcgov,psa-job-store,deployments/openshift/kustomize/base/api/nestjs/hpa.yml
1709,bcgov,sbc-auth,queue_services/account-mailer/openshift/templates/dc.yaml
1714,bcnmy,bundler,install-bundler/bundler/templates/hpa.yaml
1715,bdereims,tkia,examples/VMs2PODs/front-end.yaml
1717,bedag,helm-charts,charts/vcluster/templates/components/kubernetes/controller-manager/hpa.yaml
1718,bedag,helm-charts,charts/vcluster/templates/components/kubernetes/apiserver/hpa.yaml
1724,benjaminabbitt,evented,applications/command/query-handler/helm/evented-query-handler/templates/hpa.yaml
1731,bgastaldi,myapp,k8s/bkp/11_hpa_php.yaml
1732,bgastaldi,myapp,k8s/06_hpa.yaml
1741,bitcoin-numeraire,k8s-infra,charts/swissknife/templates/hpa.yaml
1742,bitdepscharts,charts,bitdeps/app/templates/hpa.yaml
1743,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1744,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1745,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1746,bitnami,charts,bitnami/milvus/templates/index-coordinator/hpa.yaml
1747,bitnami,charts,bitnami/dremio/templates/executor/hpa.yaml
1748,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1749,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1750,bitnami,charts,bitnami/apisix/templates/data-plane/hpa.yaml
1751,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1752,bitnami,charts,bitnami/dremio/templates/executor/hpa.yaml
1753,bitnami,charts,bitnami/dremio/templates/executor/hpa.yaml
1754,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1755,bitnami,charts,bitnami/elasticsearch/templates/data/hpa.yaml
1756,bitnami,charts,bitnami/apisix/templates/data-plane/hpa.yaml
1757,bitnami,charts,bitnami/thanos/templates/query/hpa.yaml
1758,bitnami,charts,bitnami/thanos/templates/query/hpa.yaml
1759,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1760,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1761,bitnami,charts,bitnami/spark/templates/hpa-worker.yaml
1762,bitnami,charts,bitnami/dremio/templates/executor/hpa.yaml
1763,bitnami,charts,bitnami/spark/templates/hpa-worker.yaml
1764,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1765,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1766,bitnami,charts,bitnami/spark/templates/hpa-worker.yaml
1767,bitnami,charts,bitnami/dremio/templates/executor/hpa.yaml
1768,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1769,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1770,bitnami,charts,bitnami/dremio/templates/executor/hpa.yaml
1771,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1772,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1773,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1774,bitnami,charts,bitnami/spark/templates/hpa-worker.yaml
1775,bitnami,charts,bitnami/spark/templates/hpa-worker.yaml
1776,bitnami,charts,bitnami/airflow/templates/dag-processor/hpa.yaml
1777,bitnami,charts,bitnami/dremio/templates/executor/hpa.yaml
1778,bitnami,charts,bitnami/spark/templates/hpa-worker.yaml
1779,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1780,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1781,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1782,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1783,bitnami,charts,bitnami/spark/templates/hpa-worker.yaml
1784,bitnami,charts,bitnami/aspnet-core/templates/hpa.yaml
1785,bitnami,charts,bitnami/concourse/templates/worker/horizontalpodautoscaler.yaml
1786,bitnami,charts,bitnami/spark/templates/hpa-worker.yaml
1787,bitnami,charts,bitnami/dremio/templates/executor/hpa.yaml
1788,bitnami,charts,bitnami/dremio/templates/executor/hpa.yaml
1789,bitnami,charts,bitnami/spark/templates/hpa-worker.yaml
1790,bitnami,charts,bitnami/spark/templates/hpa-worker.yaml
1791,bitnami,charts,bitnami/dremio/templates/executor/hpa.yaml
1800,blueperf,acmeair-monolithic-java,acmeair-monolithic-java.yaml
1803,bmuschko,ckad-crash-course,exercises/12-deployment-horizontal-pod-autoscaler/solution/nginx-hpa.yaml
1819,bramhoven,wildduck-k8s,wildduck/templates/zonemta/hpa.yaml
1820,brandonmartinez,raspberry-pi-kubernetes-cluster,k8s/src/resources/unbound/horizontalpodautoscaler.yml
1821,braveokafor,ollama-webui-helm,charts/ollama-webui-helm/templates/ollama/hpa.yaml
1827,bucketeer-io,bucketeer,manifests/bucketeer/charts/api/templates/hpa.yaml
1828,bucketeer-io,bucketeer,manifests/bucketeer/charts/api/templates/hpa.yaml
1831,buttahtoast,helm-charts,charts/kubevirt-manager/templates/hpa.yaml
1835,c9s,bbgo,charts/bbgo/templates/hpa.yaml
1844,callmer00t,kubeguide_example,Chapter_3/php-apache-hpa-v1.yaml
1846,camilaldmelo,PosTechFiap,Kubernetes/api/3 - api-hpa.yml
1850,candidoma,testhpa,nginx/hpa_external.yaml
1853,captnbp,opensearch-helm,templates/ingest/hpa.yaml
1854,caraml-dev,helm-charts,charts/knative-serving-istio/templates/hpas/net-istio-controller.yaml
1856,carvel-dev,ytt-library-for-kubernetes,app/hpa.yml
1857,carvel-dev,ytt-library-for-kubernetes-demo,simple-app-k8s-lib/config/_ytt_lib/github.com/k14s/k8s-lib/app/hpa.yml
1858,carvel-dev,ytt-library-for-kubernetes-demo,apps/config/_ytt_lib/github.com/k14s/k8s-lib/app/hpa.yml
1859,carvel-dev,ytt-library-for-kubernetes-demo,simple-app-ruby/config/_ytt_lib/github.com/k14s/k8s-lib/app/hpa.yml
1867,cbellee,dapr-bet,helm/results/templates/hpa.yaml
1868,cc-ai,floods-backend,k8s/shared/hpa.yml
1869,cc-ai,floods-backend,k8s/hpa.yml
1870,cc4i,awesome-gke,asset/tod/manifests/weight-tcp/ingress-gateway.yaml
1873,ccristian88,aptos-evm-bridge,deps/aptos-core/terraform/helm/autoscaling/templates/dns.yaml
1879,cds-snc,notification-manifests,base/notify-celery-sms-send-scalable/celery-sms-send-hpa.yaml
1883,celo-org,charts,charts/blockscout/templates/blockscout-web.autoscale.yaml
1884,celo-org,charts,charts/blockscout/templates/blockscout-web.autoscale.yaml
1890,ceyoniq,container,kubernetes/kustomize/nscale/extend/hpa/rendition-server.yaml
1891,cfpb,consumerfinance.gov,helm/templates/hpa.yaml
1892,cfpb,consumerfinance.gov,helm/templates/hpa.yaml
1898,chaosdorf,helm-charts,charts/netbox/templates/worker-hpa.yaml
1899,charSLee013,Kubernetes-learn,chapter03/php-apache/php-apache-hpa.yaml
1903,chaseSpace,k8s-tutorial-cn,hpa_nginx_behavior.yaml
1904,chaseSpace,k8s-tutorial-cn,hpa_nginx_behavior_default.yaml
1905,chatwoot,charts,charts/chatwoot/templates/worker-hpa.yaml
1911,chikuwait,kubernetes-complete-book,Chapter9/sample-hpa.yaml
1916,christianhuth,helm-charts,charts/proxysql/templates/hpa.yaml
1917,chronicleprotocol,charts,charts/erpc/templates/hpa.yaml
1918,chronicleprotocol,charts,charts/spectre/templates/hpa.yaml
1919,chronicleprotocol,charts,charts/lighthouse/templates/hpa.yaml
1920,chronicleprotocol,charts,charts/lighthouse/templates/hpa.yaml
1921,chronolaw,k8s_study,ch4/hpa.yml
1933,claick-oliveira,gke-spot,kubernetes/affinity/php-hpa.yaml
1934,claick-oliveira,gke-spot,kubernetes/web/php-hpa.yaml
1936,clementinesnightmare,clementines-mint,kube/clem-unleash-autoscale.yml
1938,cloud-ace,gcp-container-textbook,05/hpa.yaml
1939,cloudacode,hello-kubernetes,docs/hello-kubernetes/section03/snippets/nginx-hpa.yaml
1940,cloudentity,acp-helm-charts,charts/acp/templates/workers_hpa.yaml
1941,cloudknit-io,cloudknit,helm-charts/event-service/templates/hpa.yaml
1943,cloudnativehero-training,kubernetes-training,hpa/hpa.yaml
1946,cmu-sei,helm-charts,charts/gameboard/charts/gameboard-ui/templates/hpa.yaml
1947,cmu-sei,helm-charts,charts/caster/charts/caster-ui/templates/hpa.yaml
1948,cmu-sei,helm-charts,charts/cite/charts/cite-api/templates/hpa.yaml
1949,cmu-sei,helm-charts,charts/blueprint/charts/blueprint-api/templates/hpa.yaml
1950,cmu-sei,helm-charts,charts/caster/charts/caster-ui/templates/hpa.yaml
1951,cmu-sei,helm-charts,charts/groups/charts/groups-ui/templates/hpa.yaml
1952,cmu-sei,helm-charts,charts/blueprint/charts/blueprint-api/templates/hpa.yaml
1953,cmu-sei,helm-charts,charts/gameboard/charts/gameboard-ui/templates/hpa.yaml
1954,cmu-sei,helm-charts,charts/blueprint/charts/blueprint-api/templates/hpa.yaml
1955,cmu-sei,helm-charts,charts/groups/charts/groups-ui/templates/hpa.yaml
1956,cmu-sei,helm-charts,charts/groups/charts/groups-ui/templates/hpa.yaml
1957,cmu-sei,helm-charts,charts/caster/charts/caster-ui/templates/hpa.yaml
1958,cmu-sei,helm-charts,charts/caster/charts/caster-ui/templates/hpa.yaml
1959,cnti-testcatalog,testsuite,sample-cnfs/sample-insecure-capabilities/chart/templates/hpa.yaml
1960,cnych,kubernetes-learning,hpademo/hpa-demo.yaml
1963,code-tool,matrix-stack,charts/synapse/templates/sliding-sync-proxy-hpa.yaml
1965,codecentric,helm-charts,charts/keycloak/templates/hpa.yaml
1966,codechem,helm,charts/mastodon/templates/web/hpa.yaml
1970,codejsha,infrastructure-examples,confluent/kubernetes/policy/kafka-connect-hpa.yaml
1972,codereversing,multicompilersystem,Deployments/cs/deployment.runtime.yaml
1973,codereversing,multicompilersystem,Deployments/py/deployment.yaml
1975,codingapi,cranky-code,demo5.5/scripts/k8s/server-hpa.yaml
1978,cogitoergosumsw,speechlab-aims-kaldi-aks,reference/hpa/worker-hpa.yml
1981,common-voice,helm-charts,charts/mozilla-common-voice/templates/hpa.yaml
1984,conplementAG,azure-aks-kubernetes-workshop,12-autoscaling/04-custom-metric-scaling/hpa.yaml
1985,cooervo,kubernetes-examples,07-argocd-app-of-apps/apps/example-app/example-hpa.yaml
1986,cooervo,kubernetes-examples,14-prometheus-grafana-loki/example-app/example-hpa.yaml
