repo_name,file_path,url
mannazo/mannazo-deploy,was/auth-service/auth-service-hpa.yaml,https://github.com/mannazo/mannazo-deploy/blob/999dc94defc3cf1d7f5df2d986bf3275a1473839/was/auth-service/auth-service-hpa.yaml
abtagir/k8s-lessons,Lesson-09-Deployments/deployment-3-autoscaling.yaml,https://github.com/abtagir/k8s-lessons/blob/13e6e491088cede4aa7d48a502195d81ab052735/Lesson-09-Deployments/deployment-3-autoscaling.yaml
oncliff-climbing/EOF_Final,Kubernetes/app-deploy.yaml,https://github.com/oncliff-climbing/EOF_Final/blob/88f72086ae3326a9e0ee3c0d7402ec74103e3ca0/Kubernetes/app-deploy.yaml
cooervo/kubernetes-examples,07-argocd-app-of-apps/apps/example-app/example-hpa.yaml,https://github.com/cooervo/kubernetes-examples/blob/45085bd7077f521d69ac1408118c53b43910d2e7/07-argocd-app-of-apps/apps/example-app/example-hpa.yaml
bcgov/supreme-court-viewer-configurations,openshift/templates/api/api-deploy.yaml,https://github.com/bcgov/supreme-court-viewer-configurations/blob/93f0595f7c5f3baf15723710f0abf965a51756d9/openshift/templates/api/api-deploy.yaml
seemywingz/ponder,helm/templates/hpa.yaml,https://github.com/seemywingz/ponder/blob/711b69c7f59d83c56b473b33266484b8de17bd7c/helm/templates/hpa.yaml
uigtlkf/Project-Google-Cloud-Kubernetes-Docker,manifests/face-recognition-hpa.yaml,https://github.com/uigtlkf/Project-Google-Cloud-Kubernetes-Docker/blob/f87fc8b512796639796e2bd6e0141cfeb461a77f/manifests/face-recognition-hpa.yaml
sannrao/web-api,k8s/helm/templates/hpa.yaml,https://github.com/sannrao/web-api/blob/ed64ef43d54fd947e528265bd748d245a974740c/k8s/helm/templates/hpa.yaml
mernxl/evite-event,manifest.yaml,https://github.com/mernxl/evite-event/blob/bd17f61c33777a1726da641b8b582d0070a56408/manifest.yaml
MMR-46org/shipping,helm/chart/templates/hpa.yml,https://github.com/MMR-46org/shipping/blob/c399b5029600ae67c708e10e95dab4204a42e573/helm/chart/templates/hpa.yml
muravevartem/samokatim-ui-admin,helm/templates/hpa.yaml,https://github.com/muravevartem/samokatim-ui-admin/blob/27b3947b0ddedc468fe5d1c46b3540638223f771/helm/templates/hpa.yaml
PacktPublishing/Kubernetes-Autoscaling,chapter06/troubleshooting/hpa.yaml,https://github.com/PacktPublishing/Kubernetes-Autoscaling/blob/af96dec41d5ca22d38cfa44267768bf292604dfd/chapter06/troubleshooting/hpa.yaml
314ga/SDU_CloudComputing-EmergencyRouting,Deployment/manifest/localhost/frontend-deployment.yaml,https://github.com/314ga/SDU_CloudComputing-EmergencyRouting/blob/ee31cc12043cba23ed2cbd320cbba49a7d8f1145/Deployment/manifest/localhost/frontend-deployment.yaml
flomesh-io/traffic-guru,packages/server/src/charts/osm/templates/osm-injector-hpa.yaml,https://github.com/flomesh-io/traffic-guru/blob/4a45aad945f0f8222bdb26545109f26341db6a0f/packages/server/src/charts/osm/templates/osm-injector-hpa.yaml
didi/KnowStreaming,km-dist/helm/charts/knowstreaming-web/templates/hpa.yaml,https://github.com/didi/KnowStreaming/blob/4c10b4ce9cce71951e777eaf01fcc4610b6bba19/km-dist/helm/charts/knowstreaming-web/templates/hpa.yaml
fjin/k8sexamples,mongo-example/mongo-express/templates/hpa.yaml,https://github.com/fjin/k8sexamples/blob/769a3454a3476938196ae6916cd7e0d9ac8476cc/mongo-example/mongo-express/templates/hpa.yaml
raymieloman/k8s-getting-started-demos,horizontalautoscaler/horizontalautoscaler.yaml,https://github.com/raymieloman/k8s-getting-started-demos/blob/f4392045105d20cd242207725c3c7430e9bb49eb/horizontalautoscaler/horizontalautoscaler.yaml
